route_id,service_id,trip_id,shape_id
5064,1,5064_09_12,
5064,1,5064_21_23,
5064,1,5064_08_44,
5064,1,5064_13_33,
5064,1,5064_16_00,
5064,1,5064_07_34,
5064,1,5064_08_06,
5064,1,5064_18_55,
5064,1,5064_16_45,
5064,1,5064_12_48,
5064,1,5064_09_05,
5064,1,5064_09_26,
5064,1,5064_19_14,
5064,1,5064_10_16,
5064,1,5064_14_34,
5064,1,5064_12_41,
5064,1,5064_14_44,
5064,1,5064_18_08,
5064,1,5064_16_35,
5064,1,5064_18_35,
5064,1,5064_07_47,
5064,1,5064_09_10,
5064,1,5064_17_40,
5064,1,5064_16_40,
5064,1,5064_06_52,
5064,1,5064_13_24,
5064,1,5064_06_10,
5064,1,5064_18_46,
5064,1,5064_13_45,
5064,1,5064_08_02,
5064,1,5064_06_18,
5064,1,5064_10_54,
5064,1,5064_07_42,
5064,1,5064_20_10,
5064,1,5064_18_50,
5064,1,5064_06_57,
5064,1,5064_17_30,
5064,1,5064_13_51,
5064,1,5064_09_40,
5064,1,5064_12_52,
5064,1,5064_15_16,
5064,1,5064_06_40,
5064,1,5064_20_56,
5064,1,5064_13_38,
5064,1,5064_16_54,
5064,1,5064_13_06,
5064,1,5064_15_10,
5064,1,5064_20_52,
5064,1,5064_15_13,
5064,1,5064_15_50,
5064,1,5064_15_30,
5064,1,5064_17_04,
5064,1,5064_06_00,
5064,1,5064_12_05,
5064,1,5064_10_22,
5064,1,5064_16_11,
5064,1,5064_17_00,
5064,1,5064_12_00,
5064,1,5064_14_40,
5064,1,5064_10_36,
5064,1,5064_11_10,
5064,1,5064_18_28,
5064,1,5064_06_45,
5064,1,5064_06_30,
5064,1,5064_15_06,
5064,1,5064_20_20,
5064,1,5064_12_14,
5064,1,5064_07_44,
5064,1,5064_16_26,
5064,1,5064_18_04,
5064,1,5064_14_54,
5064,1,5064_20_28,
5064,1,5064_11_25,
5064,1,5064_17_36,
5064,1,5064_11_39,
5064,1,5064_05_36,
5064,1,5064_15_44,
5064,1,5064_16_05,
5064,1,5064_20_15,
5064,1,5064_10_30,
5064,1,5064_11_50,
5064,1,5064_08_20,
5064,1,5064_16_19,
5064,1,5064_08_10,
5064,1,5064_08_40,
5064,1,5064_20_24,
5064,1,5064_15_48,
5064,1,5064_20_55,
5064,1,5064_09_28,
5064,1,5064_08_30,
5064,1,5064_13_50,
5064,1,5064_05_50,
5064,1,5064_05_22,
5064,1,5064_07_15,
5064,1,5064_08_51,
5064,1,5064_10_44,
5064,1,5064_10_07,
5064,1,5064_11_56,
5064,1,5064_15_58,
5064,1,5064_07_08,
5064,1,5064_05_30,
5064,1,5064_12_28,
5064,1,5064_18_59,
5064,1,5064_19_52,
5064,1,5064_20_45,
5064,1,5064_19_00,
5064,1,5064_19_30,
5064,1,5064_08_16,
5064,1,5064_16_15,
5064,1,5064_10_50,
5064,1,5064_06_50,
5064,1,5064_16_10,
5064,1,5064_14_25,
5064,1,5064_17_33,
5064,1,5064_17_50,
5064,1,5064_07_40,
5064,1,5064_20_02,
5064,1,5064_15_20,
5064,1,5064_09_17,
5064,1,5064_05_14,
5064,1,5064_14_06,
5064,1,5064_13_05,
5064,1,5064_20_38,
5064,1,5064_21_40,
5064,1,5064_06_24,
5064,1,5064_07_20,
5064,1,5064_19_45,
5064,1,5064_08_37,
5064,1,5064_17_14,
5064,1,5064_13_30,
5064,1,5064_08_25,
5064,1,5064_18_00,
5064,1,5064_08_24,
5064,1,5064_08_58,
5064,1,5064_05_42,
5064,1,5064_17_26,
5064,1,5064_20_14,
5064,1,5064_10_26,
5064,1,5064_10_45,
5064,1,5064_11_00,
5064,1,5064_09_35,
5064,1,5064_19_07,
5064,1,5064_11_20,
5064,1,5064_10_00,
5064,1,5064_19_42,
5064,1,5064_18_43,
5064,1,5064_09_53,
5064,1,5064_15_02,
5064,1,5064_06_38,
5064,1,5064_11_40,
5064,1,5064_07_56,
5064,1,5064_17_22,
5064,1,5064_12_16,
5064,1,5064_15_40,
5064,1,5064_07_06,
5064,1,5064_21_30,
5064,1,5064_21_14,
5064,1,5064_12_20,
5530,1,5530_09_12,
5530,1,5530_09_54,
5530,1,5530_08_44,
5530,1,5530_07_34,
5530,1,5530_12_04,
5530,1,5530_12_56,
5530,1,5530_17_20,
5530,1,5530_08_18,
5530,1,5530_21_38,
5530,1,5530_08_48,
5530,1,5530_06_32,
5530,1,5530_22_24,
5530,1,5530_09_26,
5530,1,5530_16_30,
5530,1,5530_19_14,
5530,1,5530_17_05,
5530,1,5530_11_55,
5530,1,5530_22_02,
5530,1,5530_09_50,
5530,1,5530_17_55,
5530,1,5530_14_34,
5530,1,5530_11_03,
5530,1,5530_16_04,
5530,1,5530_22_33,
5530,1,5530_06_52,
5530,1,5530_16_40,
5530,1,5530_12_10,
5530,1,5530_20_40,
5530,1,5530_13_24,
5530,1,5530_16_20,
5530,1,5530_17_15,
5530,1,5530_18_36,
5530,1,5530_18_46,
5530,1,5530_13_45,
5530,1,5530_08_02,
5530,1,5530_20_17,
5530,1,5530_18_32,
5530,1,5530_16_50,
5530,1,5530_17_08,
5530,1,5530_18_50,
5530,1,5530_07_28,
5530,1,5530_20_10,
5530,1,5530_09_40,
5530,1,5530_13_51,
5530,1,5530_15_16,
5530,1,5530_09_47,
5530,1,5530_06_40,
5530,1,5530_10_01,
5530,1,5530_10_38,
5530,1,5530_13_38,
5530,1,5530_07_55,
5530,1,5530_16_54,
5530,1,5530_13_06,
5530,1,5530_15_00,
5530,1,5530_20_52,
5530,1,5530_08_07,
5530,1,5530_13_10,
5530,1,5530_10_18,
5530,1,5530_15_50,
5530,1,5530_18_14,
5530,1,5530_14_12,
5530,1,5530_10_22,
5530,1,5530_12_00,
5530,1,5530_17_00,
5530,1,5530_13_26,
5530,1,5530_10_36,
5530,1,5530_14_40,
5530,1,5530_11_10,
5530,1,5530_22_50,
5530,1,5530_12_49,
5530,1,5530_07_10,
5530,1,5530_16_26,
5530,1,5530_19_56,
